"Covariate Profile","Health","Ht","HyperLip","Dm","Health","Ht","HyperLip","Dm","Health","Ht","HyperLip","Dm"
"F:-2",0,0,0,0,0.0321152592039252,0.00166111735589246,0.0800580477807995,0.00287353448222309,0.0844287199672031,0.00555246956266411,0.153069569010575,0.0216023648297181
"F:-1",0,0,0,0,0.0447519255308926,0.00147703980751394,0.108795397272766,0.00287388024408712,0.115726165438738,0.00617737106322841,0.194539862184013,0.0210155726867069
"F:0",0,0,0,0,0.0626755821456537,0.00137146532189085,0.147534722789178,0.00330543507066133,0.158994706247823,0.00788907676120131,0.249196909274801,0.0238335124273377
"F:1",0,0,0,0,0.0881684478272364,0.00202130689107671,0.199236798076096,0.0049558547788883,0.218457247734587,0.0122376748697191,0.32091847677548,0.0314860005987176
"F:2",0,0,0,0,0.12443290367061,0.00381417529235931,0.267132737956488,0.0082586303965788,0.298958669916631,0.0208379070297124,0.413667998104048,0.0431974689348849
"M: -2",0,0,0,0,0.0703244571456154,0.00276156980229845,0.141554609281737,0.00389406455299542,0.161800875789236,0.00919184334605246,0.206890499356943,0.0198402676006231
"M: -1",0,0,0,0,0.0998344240115172,0.00261069716842187,0.191643971109014,0.00363789529124389,0.217843883051093,0.00849065693472769,0.264050381930688,0.0188794798040516
"M: 0",0,0,0,0,0.142133459592209,0.0029602035886529,0.257705173829317,0.00418408872831394,0.291716233791088,0.00811949824925627,0.33758278860791,0.0214261016698646
"M: 1",0,0,0,0,0.202300431992882,0.00458708216370788,0.342732932618542,0.00673206312132466,0.386559564621448,0.0112168654233203,0.430238453342759,0.0281749785930664
"M: 2",0,0,0,0,0.286337619198726,0.00759418829139419,0.448100367251865,0.0112388080404273,0.503048964401974,0.0193595743825228,0.542620271349473,0.0370195944837955
