"Covariate Profile","Health","Ht","HyperLip","Dm","Health","Ht","HyperLip","Dm","Health","Ht","HyperLip","Dm"
"F:-2",0,0,0,0,0.0216792206633428,0.00167457610751565,0.0442241259390288,0.00268704916209474,0.0420826307837523,0.00441823911265017,0.0998577015110913,0.0223076547426595
"F:-1",0,0,0,0,0.0288712074745184,0.00148943609303096,0.0587307986203495,0.00256661696671046,0.0552439014465924,0.00474477614942667,0.120990261788799,0.021865221572688
"F:0",0,0,0,0,0.0384706062360609,0.00137078495421784,0.0778383578010341,0.00284308807199786,0.0724988849724858,0.0057281456848221,0.147192873196869,0.0248859935853496
"F:1",0,0,0,0,0.0512615231397738,0.00203758516740627,0.102854382947602,0.00445993070261423,0.0950323058673433,0.00822854557623779,0.179477869590713,0.0336230794154694
"F:2",0,0,0,0,0.0682542111227056,0.00396518384619756,0.135329991131181,0.00791429815764976,0.124277235149188,0.0130174334889279,0.218837056988851,0.0486605007192768
"M: -2",0,0,0,0,0.0390279707874831,0.00298132619915766,0.0684326884461456,0.00377509632483276,0.0767709538543204,0.00778823687274952,0.1154787707246,0.0200599423916614
"M: -1",0,0,0,0,0.0519700421114351,0.00280242137212302,0.0904493120296296,0.00350254065743139,0.100087755789944,0.00764898822276977,0.140177557580049,0.0199198775750149
"M: 0",0,0,0,0,0.0691594382963106,0.00294608629870717,0.11912263306217,0.00390806138536221,0.130178048065526,0.00807517965298204,0.170588867425754,0.0242109331618685
"M: 1",0,0,0,0,0.0918846505332474,0.00441365727328528,0.156099623041231,0.00634991438718559,0.168659929731114,0.0107990903363723,0.207730109510944,0.0348225711341144
"M: 2",0,0,0,0,0.121719359781582,0.0078027099276073,0.203144219015146,0.0112304020599387,0.217234300556322,0.0172285530231507,0.252509759390457,0.0517162937886765
