"Covariate Profile","Health","Ht","HyperLip","Dm","Health","Ht","HyperLip","Dm","Health","Ht","HyperLip","Dm"
"F:-2",0,0,0,0,0.029008962758373,0.00168039798803091,0.0665674389767932,0.00267068246469126,0.0643795715236298,0.00465427536777412,0.131452715463631,0.0215797177801962
"F:-1",0,0,0,0,0.0395976309369562,0.00148665902174462,0.0886375266268939,0.00261554582306653,0.0849409141222384,0.00491780133262922,0.161571390151306,0.0206900803995256
"F:0",0,0,0,0,0.0541255490342,0.00135647591067573,0.117611828961966,0.00305804463106642,0.111862412690073,0.00582315122748128,0.199048850862365,0.023255575801726
"F:1",0,0,0,0,0.0740172411626758,0.00202056520683606,0.155283960962466,0.00478095881156444,0.146845586263415,0.00822179537139379,0.245221411584591,0.0314045079810294
"F:2",0,0,0,0,0.101135563874629,0.00392893622336771,0.203613637007685,0.00810267069207032,0.191804206103071,0.0127597146675366,0.301244876387388,0.0451154721523237
"M: -2",0,0,0,0,0.0581114618300973,0.00289298839731197,0.110519510637727,0.00377983649606613,0.1235887551988,0.00839991242397679,0.169814510306088,0.0192951696889111
"M: -1",0,0,0,0,0.0797143417244082,0.00276211168521416,0.146107397262461,0.00353428367348164,0.161472278995377,0.00799372941830087,0.209483910463535,0.0182920536317425
"M: 0",0,0,0,0,0.109235220670411,0.00312239230461547,0.191926331092777,0.00401269667679419,0.209811643093254,0.00795508786896649,0.25828686861767,0.0219470924718523
"M: 1",0,0,0,0,0.149233258943491,0.00486296185312639,0.249923518989435,0.00629958325054822,0.270454468134375,0.00999412164607183,0.317406421258876,0.0319039006243098
"M: 2",0,0,0,0,0.202690735794103,0.00831110692421069,0.321649714085574,0.0104803673216714,0.344746662977015,0.0152896956538689,0.387427154499061,0.0469179661449736
